p,d,q,P,D,Q,aic
4,0,4,0,1,1,9723.465806400907
5,1,5,0,1,1,9723.68829933518
5,1,0,0,1,1,9724.75977505955
4,1,0,0,1,1,9728.034317458474
2,1,4,0,1,1,9728.746349431025
5,0,4,0,1,1,9729.730770254204
2,2,1,0,1,1,9733.811230049278
3,1,0,0,1,1,9739.575498778957
2,1,3,0,1,1,9739.996584828314
1,0,0,0,1,1,9741.324173490533
3,1,4,0,1,1,9742.278930957105
3,1,3,0,1,1,9742.656245360595
4,0,3,0,1,1,9742.732180071955
5,1,4,0,1,1,9742.99148357429
4,2,6,0,1,1,9743.197463942633
4,1,4,0,1,1,9744.188887543467
2,2,6,0,1,1,9744.432255064028
6,1,4,0,1,1,9744.741949776148
3,2,6,0,1,1,9748.051624640433
5,0,3,0,1,1,9749.58179913524
1,2,1,0,1,1,9750.953518182738
4,1,3,0,1,1,9752.305810396649
1,2,6,0,1,1,9752.827486430917
2,1,0,0,1,1,9753.697011225411
4,0,2,0,1,1,9754.147190853135
4,1,2,0,1,1,9754.717890337757
5,0,2,0,1,1,9756.636603483534
3,0,2,0,1,1,9757.039290271303
6,1,3,0,1,1,9760.240820305486
5,1,3,0,1,1,9760.42688354083
0,2,6,0,1,1,9761.441872827188
5,2,5,0,1,1,9768.000817402142
1,1,0,0,1,1,9771.112896801336
6,2,5,0,1,1,9773.158153754712
5,1,2,0,1,1,9775.844997698785
4,2,5,0,1,1,9781.535807765153
2,2,5,0,1,1,9783.69490699531
3,2,5,0,1,1,9784.903502275938
0,0,1,0,1,1,9787.479517330226
0,2,5,0,1,1,9788.794843258729
1,2,5,0,1,1,9790.738665734836
6,2,4,0,1,1,9793.148019847877
4,2,4,0,1,1,9796.83554801489
5,2,4,0,1,1,9800.096022332255
1,2,4,0,1,1,9801.783081254767
2,2,4,0,1,1,9802.442182962333
3,2,4,0,1,1,9803.127924357263
1,2,3,0,1,1,9805.847612899455
0,2,4,0,1,1,9808.012117255523
2,2,3,0,1,1,9812.642907986976
6,2,3,0,1,1,9814.521566268995
3,2,3,0,1,1,9815.029884053592
4,2,3,0,1,1,9816.485422823762
5,2,3,0,1,1,9817.278283018837
2,2,2,0,1,1,9849.414315578142
3,2,2,0,1,1,9850.476659362
4,2,2,0,1,1,9851.216889516265
5,2,2,0,1,1,9851.306709508477
6,2,2,0,1,1,9852.65517495156
6,2,0,0,1,1,9861.335875669656
1,2,2,0,1,1,9876.90519652685
0,0,0,0,1,1,9896.18910548399
5,2,0,0,1,1,9906.714444346784
0,2,1,0,1,1,9911.58117582844
0,1,0,0,1,1,9932.286403357752
4,2,0,0,1,1,9943.46058646986
3,2,0,0,1,1,10002.552065540927
2,2,0,0,1,1,10075.472308769902
1,2,0,0,1,1,10209.991370359017
0,2,0,0,1,1,10629.979060253452
6,0,3,0,1,1,14765.637001782101
